Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-30 00:00:05.939,114251.3,0.002,BTCUSDT
2025-09-30 00:00:05.939,114251.4,0.026,BTCUSDT
2025-09-30 00:00:05.939,114251.9,0.002,BTCUSDT
2025-09-30 00:00:05.944,114252.0,0.001,BTCUSDT
2025-09-30 00:00:05.944,114252.3,0.001,BTCUSDT
2025-09-30 00:00:05.944,114252.5,0.002,BTCUSDT
2025-09-30 00:00:05.944,114253.2,0.001,BTCUSDT
2025-09-30 00:00:05.944,114253.3,0.002,BTCUSDT
2025-09-30 00:00:05.944,114253.7,0.065,BTCUSDT
2025-09-30 00:00:05.944,114253.8,0.001,BTCUSDT
2025-09-30 00:00:05.944,114253.9,0.005,BTCUSDT
2025-09-30 00:00:05.944,114254.0,0.002,BTCUSDT
2025-09-30 00:00:05.944,114254.1,0.002,BTCUSDT
2025-09-30 00:00:05.944,114254.2,0.002,BTCUSDT
2025-09-30 00:00:05.944,114254.4,0.008,BTCUSDT
2025-09-30 00:00:05.949,114254.4,0.002,BTCUSDT
2025-09-30 00:00:05.949,114254.4,0.002,BTCUSDT
2025-09-30 00:00:05.949,114255.0,0.002,BTCUSDT
2025-09-30 00:00:05.949,114255.0,0.002,BTCUSDT
2025-09-30 00:00:05.949,114255.6,0.037,BTCUSDT
2025-09-30 00:00:05.949,114255.6,0.006,BTCUSDT
2025-09-30 00:00:05.949,114255.6,0.008,BTCUSDT
2025-09-30 00:00:05.949,114255.6,0.01,BTCUSDT
2025-09-30 00:00:05.949,114255.6,0.006,BTCUSDT
2025-09-30 00:00:05.949,114255.6,0.015,BTCUSDT
2025-09-30 00:00:05.949,114255.6,0.007,BTCUSDT
2025-09-30 00:00:05.949,114255.6,0.002,BTCUSDT
2025-09-30 00:00:05.949,114255.7,0.001,BTCUSDT
2025-09-30 00:00:05.949,114255.8,0.002,BTCUSDT
2025-09-30 00:00:05.949,114255.9,0.092,BTCUSDT
2025-09-30 00:00:05.950,114255.9,0.039,BTCUSDT
2025-09-30 00:00:05.950,114255.9,0.087,BTCUSDT
2025-09-30 00:00:05.959,114256.4,0.002,BTCUSDT
2025-09-30 00:00:05.959,114256.4,0.001,BTCUSDT
2025-09-30 00:00:05.959,114256.4,0.001,BTCUSDT
2025-09-30 00:00:05.959,114256.4,0.001,BTCUSDT
2025-09-30 00:00:05.959,114256.4,0.001,BTCUSDT
2025-09-30 00:00:05.959,114256.4,0.004,BTCUSDT
2025-09-30 00:00:05.960,114256.4,0.005,BTCUSDT
2025-09-30 00:00:05.976,114256.4,0.001,BTCUSDT
2025-09-30 00:00:05.976,114256.4,0.001,BTCUSDT
2025-09-30 00:00:05.976,114256.4,0.005,BTCUSDT
2025-09-30 00:00:05.976,114256.4,0.002,BTCUSDT
2025-09-30 00:00:05.976,114256.4,0.003,BTCUSDT
2025-09-30 00:00:05.976,114256.5,0.001,BTCUSDT
2025-09-30 00:00:05.976,114256.7,0.001,BTCUSDT
2025-09-30 00:00:05.988,114257.1,0.002,BTCUSDT
